#I      #x

1.4     0
1.0     1
1.2     2
1.8     3
1.8     4
1.8     5
1.8     6
1.4     7
2.0     8
3.0     9
3.2     10
4.0     11
4.4     12
4.8     13
4.2     14
3.4     15
4.4     16
7       17
9       18
10      19
12      20
26      20.5
20      21
24      21.5
34      22
20      22.5
42      23
28      23.5
32      24
36      24.5
22      25
32      25.5
20      26
22      26.5
20      27
14      27.5
18      28
14      28.5
12      29
14      29.5
10      30
12      31
10      32
7.0     33
6.2     34
6.4     35
6.2     36
5.6     37
7.2     38
8.8     39
7.0     40
4.4     41
4.8     42
4.4     43
2.6     44
2.0     45
2.2     46
2.4     47
2.2     48
2.0     49
2.4     50
