#I      #x

0.32    0.0
0.36    1.0
0.40    2.0
0.44    3.0
0.50    4.0
0.70    5.0
1.00    6.0
1.40    7.0
1.60    8.0
1.60    9.0
1.40    10.0
1.20    11.0
1.40    12.0
2.00    13.0
2.40    14.0
2.80    15.0
2.60    16.0
2.40    17.0
2.20    18.0
2.60    19.0
3.00    20.0
3.20    20.5
3.80    21.0
4.40    21.5
6.00    22.0
7.80    22.5
10.00   23.0
14.00   23.5
16.00   24.0
16.00   24.5

16.00   25.5
16.00   26.0
14.00   26.5
12.00   27.0
9.40    27.5
7.80    28.0
6.80    28.5
6.00    29.0
5.80    29.5
5.20    30.0
4.20    31.0
3.00    32.0
2.40    33.0
2.20    34.0
2.00    35.0
1.80    36.0
2.00    37.0
2.20    38.0
2.00    39.0
1.60    40.0
1.20    41.0
1.20    42.0
1.20    43.0
1.00    44.0
1.00    45.0
1.00    46.0
1.00    47.0
0.84    48.0
0.70    49.0
0.72    50.0
